title,source_url,caption,notes,bookshop_url,cover_image
Komi Can't Communicate,,,,https://bookshop.org/a/122519/9781974707126,
The Way of the Househusband,,,,https://bookshop.org/a/122519/9781974709403,
Mieruko-chan,,,,https://bookshop.org/a/122519/9781975317577,
Ako and Bambi,,,,https://bookshop.org/a/122519/9781975377830,
The Girl with the Sanpaku Eyes,,,,https://bookshop.org/a/122519/9781634429580,
Rooster Fighter,,,,https://bookshop.org/a/122519/9781974729845,
Maison Ikkoku,,,,https://bookshop.org/a/122519/9781974711871,
Shikimori's Not Just a Cutie,,,,https://bookshop.org/a/122519/9781646511754,
My Deer friend Nokotan,,,,https://bookshop.org/a/122519/9781648278860,
Goodnight Pun Pun,,,,https://bookshop.org/a/122519/9781421586205,
Ran and the gray world,,,,https://bookshop.org/a/122519/9781974703623,
The White Cat's Revenge as Plotted from the Dragon King's Lap,,,"Ruri just can't get away from Asahi. Her clingy, oblivious childhood friend is beloved by everyone, leaving Ruri to deal with resentment and jealousy from Asahi's groupies. When Asahi is summoned to another world to be its ""Priestess Princess,"" Ruri is dragged along too and exiled to the woods as a traitor. Away from Asahi's shadow at last, she may find that this new world is the perfect place for a new beginning. (Source: Yen Press)",https://bookshop.org/a/122519/9781975317485,https://images.yenpress.com/imgs/9781975317485.jpg?h=612&s=3460a18058ac1c840251fe9d3c501538&type=books&w=408
Kamisama Kiss,https://www.viz.com/manga-books/manga/kamisama-kiss-volume-1/product/2542,,After her father leaves her homeless Nanami ends up at a rundown shrine and is mistaken for its new local deity. Between divine duties and a sharp-tongued fox familiar her ordinary life turns into a supernatural romance.,https://bookshop.org/a/122519/9781421536385,https://dynamic.indigoimages.ca/v1/books/books/1421536382/1.jpg
Ghostly Things,https://sevenseasentertainment.com/series/ghostly-things/,,With her father off overseas Yachiho moves into a haunted house all by herself and discovers a hidden lower floor full of spirits. To uncover her family's secrets she has to survive life with a whole mansion of ghostly roommates.,https://bookshop.org/a/122519/9781642757101,https://sevenseasentertainment.com/wp-content/uploads/2019/01/GHOSTLY-THINGS-1-coverFRONT.jpg
Dissolving classroom (Junji Ito),https://kodansha.us/product/dissolving-classroom/,,Yuma and Chizumi drift from place to place leaving curses obsession and body horror behind them. This Junji Ito collection turns rumor and cruelty into grotesque supernatural disasters.,https://bookshop.org/a/122519/9781942993858,https://dynamic.indigoimages.ca/v1/books/books/1942993854/1.jpg
Gyo (Junji Ito),https://www.viz.com/manga-books/manga/junji-ito/product/3685,,A nightmare plague begins with foul-smelling fish crawling onto land on mechanical legs. Junji Ito turns seaside panic into a relentless horror spiral full of rot obsession and apocalyptic dread.,https://bookshop.org/a/122519/9781421579153,https://dynamic.indigoimages.ca/v1/books/books/1421579154/1.jpg
Kaguya-sama: Love Is War,,,,https://bookshop.org/a/122519/9781974700301,
Chobits,,,,https://bookshop.org/a/122519/9781632368164,
Frieren: Beyond Journey's End,,,,https://bookshop.org/a/122519/9781974725762,
Noragami,,,,https://bookshop.org/a/122519/9781612629063,
